이름	성별	연령(만)	체중유형	전공영역	요일	식사전스트레스지수	식사유형	식사위치	음식유형	가격	식사만족도	함께한사람	이동거리	식사시간	이동수단	수집 시기	개수									
A02	남성	22	표준체중	공과대학	목	2	간식	북측	기타	2000	만족	다밥	15분이내	15분이내	도보	2017-2018년	1									
A02	남성	22	표준체중	공과대학	일	2	아침	동측	양식	4000	만족	혼밥	15분이내	15분이내	도보	2017-2018년	1									
A02	남성	22	표준체중	공과대학	금	4	점심	북측	한식	4000	만족	다밥	15분이내	15분이내	도보	2017-2018년	1									
A02	남성	22	표준체중	공과대학	금	3	간식	어은동	기타	5000	만족	다밥	15분이내	15분이내	도보	2017-2018년	1									
A02	남성	22	표준체중	공과대학	일	2	저녁	북측	한식	8000	만족	다밥	15분이내	15분이내	도보	2017-2018년	1									
A02	남성	22	표준체중	공과대학	일	2	점심	어은동	한식	9000	만족	다밥	15분이내	15분이내	도보	2017-2018년	1									
A02	남성	22	표준체중	공과대학	금	3	간식	북측	기타	2000	만족	혼밥	15분이내	30분이내	도보	2017-2018년	1									
A02	남성	22	표준체중	공과대학	화	3	점심	북측	한식	5000	만족	다밥	15분이내	30분이내	도보	2017-2018년	1									
A02	남성	22	표준체중	공과대학	월	4	점심	북측	일식	5000	불만족	다밥	15분이내	30분이내	도보	2017-2018년	1									
A02	남성	22	표준체중	공과대학	목	2	저녁	북측	한식	5000	만족	다밥	15분이내	30분이내	도보	2017-2018년	1									
A02	남성	22	표준체중	공과대학	금	3	저녁	어은동	한식	7000	만족	다밥	15분이내	30분이내	도보	2017-2018년	1									
A02	남성	22	표준체중	공과대학	화	3	간식	북측	기타	2000	만족	다밥	15분이내	30분이상	도보	2017-2018년	1									
A02	남성	22	표준체중	공과대학	화	3	간식	북측	기타	3000	만족	다밥	15분이내	30분이상	도보	2017-2018년	1									
A02	남성	22	표준체중	공과대학	월	3	간식	북측	기타	3000	만족	다밥	15분이내	30분이상	도보	2017-2018년	1									
A02	남성	22	표준체중	공과대학	목	1	야식	북측	한식	6000	만족	다밥	15분이내	30분이상	도보	2017-2018년	1									
